Month,Segment,Churned Customers,Active Customers,Churn Rate %,Benchmark Churn Rate %,Variance %
2025-04,Enterprise,74,6620,1.12,0.75,0.37
2025-04,Mid-Market,176,20025,0.88,2.0,-1.12
2025-04,SMB,746,35815,2.08,4.0,-1.92
2025-03,Enterprise,48,6458,0.74,0.75,-0.01
2025-03,Mid-Market,172,19639,0.88,2.0,-1.12
2025-03,SMB,663,35365,1.87,4.0,-2.13
2025-02,Enterprise,46,6277,0.73,0.75,-0.02
2025-02,Mid-Market,128,19096,0.67,2.0,-1.33
2025-02,SMB,587,34638,1.69,4.0,-2.31
2025-01,Enterprise,45,5988,0.75,0.75,0.0
2025-01,Mid-Market,128,18351,0.7,2.0,-1.3
2025-01,SMB,560,33428,1.68,4.0,-2.32
2024-12,Enterprise,48,5826,0.82,0.75,0.07
2024-12,Mid-Market,120,17819,0.67,2.0,-1.33
2024-12,SMB,531,32615,1.63,4.0,-2.37
2024-11,Enterprise,40,5607,0.71,0.75,-0.04
2024-11,Mid-Market,95,17196,0.55,2.0,-1.45
2024-11,SMB,477,31585,1.51,4.0,-2.49
2024-10,Enterprise,33,5432,0.61,0.75,-0.14
2024-10,Mid-Market,92,16679,0.55,2.0,-1.45
2024-10,SMB,428,30729,1.39,4.0,-2.61
2024-09,Enterprise,22,5252,0.42,0.75,-0.33
2024-09,Mid-Market,70,16194,0.43,2.0,-1.57
2024-09,SMB,366,29823,1.23,4.0,-2.77
2024-08,Enterprise,39,5141,0.76,0.75,0.01
2024-08,Mid-Market,87,15853,0.55,2.0,-1.45
2024-08,SMB,378,29354,1.29,4.0,-2.71
2024-07,Enterprise,32,4995,0.64,0.75,-0.11
2024-07,Mid-Market,77,15441,0.5,2.0,-1.5
2024-07,SMB,366,28758,1.27,4.0,-2.73
2024-06,Enterprise,24,4850,0.49,0.75,-0.26
2024-06,Mid-Market,63,14948,0.42,2.0,-1.58
2024-06,SMB,333,28058,1.19,4.0,-2.81
2024-05,Enterprise,29,4669,0.62,0.75,-0.13
2024-05,Mid-Market,66,14345,0.46,2.0,-1.54
2024-05,SMB,318,27096,1.17,4.0,-2.83
2024-04,Enterprise,11,4330,0.25,0.75,-0.5
2024-04,Mid-Market,46,13300,0.35,2.0,-1.65
2024-04,SMB,255,25127,1.01,4.0,-2.99
