month,segment,arpu,cac,cac_payback_months,payback_category
2025-04,Enterprise,1720.39,742.68,0.43,Excellent (<1 mo)
2025-04,Mid-Market,1499.27,114.44,0.08,Excellent (<1 mo)
2025-04,SMB,1575.47,15.72,0.01,Excellent (<1 mo)
2025-03,Enterprise,1673.25,553.01,0.33,Excellent (<1 mo)
2025-03,Mid-Market,1501.96,128.07,0.09,Excellent (<1 mo)
2025-03,SMB,1590.62,15.91,0.01,Excellent (<1 mo)
2025-02,Enterprise,1704.63,567.04,0.33,Excellent (<1 mo)
2025-02,Mid-Market,1467.31,92.65,0.06,Excellent (<1 mo)
2025-02,SMB,1523.09,13.02,0.01,Excellent (<1 mo)
2025-01,Enterprise,1754.83,395.89,0.23,Excellent (<1 mo)
2025-01,Mid-Market,1506.97,73.88,0.05,Excellent (<1 mo)
2025-01,SMB,1577.6,10.11,0.01,Excellent (<1 mo)
2024-12,Enterprise,1743.14,559.68,0.32,Excellent (<1 mo)
2024-12,Mid-Market,1509.85,98.66,0.07,Excellent (<1 mo)
2024-12,SMB,1552.14,13.47,0.01,Excellent (<1 mo)
2024-11,Enterprise,1778.88,507.5,0.29,Excellent (<1 mo)
2024-11,Mid-Market,1521.25,96.34,0.06,Excellent (<1 mo)
2024-11,SMB,1541.89,10.69,0.01,Excellent (<1 mo)
2024-10,Enterprise,1745.23,557.76,0.32,Excellent (<1 mo)
2024-10,Mid-Market,1491.72,109.97,0.07,Excellent (<1 mo)
2024-10,SMB,1538.72,13.07,0.01,Excellent (<1 mo)
2024-09,Enterprise,1710.13,598.4,0.35,Excellent (<1 mo)
2024-09,Mid-Market,1501.86,126.14,0.08,Excellent (<1 mo)
2024-09,SMB,1551.87,14.93,0.01,Excellent (<1 mo)
2024-08,Enterprise,1760.93,881.58,0.5,Excellent (<1 mo)
2024-08,Mid-Market,1503.14,166.8,0.11,Excellent (<1 mo)
2024-08,SMB,1583.29,21.35,0.01,Excellent (<1 mo)
2024-07,Enterprise,1712.72,747.47,0.44,Excellent (<1 mo)
2024-07,Mid-Market,1558.41,126.48,0.08,Excellent (<1 mo)
2024-07,SMB,1573.78,18.47,0.01,Excellent (<1 mo)
2024-06,Enterprise,1706.03,667.43,0.39,Excellent (<1 mo)
2024-06,Mid-Market,1509.78,122.86,0.08,Excellent (<1 mo)
2024-06,SMB,1559.3,17.52,0.01,Excellent (<1 mo)
2024-05,Enterprise,1715.79,622.04,0.36,Excellent (<1 mo)
2024-05,Mid-Market,1532.74,93.02,0.06,Excellent (<1 mo)
2024-05,SMB,1568.37,13.4,0.01,Excellent (<1 mo)
2024-04,Enterprise,1699.65,359.93,0.21,Excellent (<1 mo)
2024-04,Mid-Market,1531.52,59.65,0.04,Excellent (<1 mo)
2024-04,SMB,1560.18,8.54,0.01,Excellent (<1 mo)
2024-03,Enterprise,1673.09,576.8,0.34,Excellent (<1 mo)
2024-03,Mid-Market,1509.05,93.09,0.06,Excellent (<1 mo)
2024-03,SMB,1570.31,13.36,0.01,Excellent (<1 mo)
2024-02,Enterprise,1664.23,763.74,0.46,Excellent (<1 mo)
2024-02,Mid-Market,1512.57,123.26,0.08,Excellent (<1 mo)
2024-02,SMB,1560.38,15.31,0.01,Excellent (<1 mo)
2024-01,Enterprise,1710.19,383.27,0.22,Excellent (<1 mo)
2024-01,Mid-Market,1520.27,77.56,0.05,Excellent (<1 mo)
2024-01,SMB,1559.66,11.07,0.01,Excellent (<1 mo)
2023-12,Enterprise,1749.9,546.75,0.31,Excellent (<1 mo)
2023-12,Mid-Market,1496.25,86.61,0.06,Excellent (<1 mo)
2023-12,SMB,1532.2,11.01,0.01,Excellent (<1 mo)
2023-11,Enterprise,1780.3,567.19,0.32,Excellent (<1 mo)
2023-11,Mid-Market,1508.5,90.13,0.06,Excellent (<1 mo)
2023-11,SMB,1559.24,12.62,0.01,Excellent (<1 mo)
2023-10,Enterprise,1779.13,699.45,0.39,Excellent (<1 mo)
2023-10,Mid-Market,1485.25,126.01,0.08,Excellent (<1 mo)
2023-10,SMB,1574.09,13.96,0.01,Excellent (<1 mo)
2023-09,Enterprise,1717.59,671.95,0.39,Excellent (<1 mo)
2023-09,Mid-Market,1516.0,106.18,0.07,Excellent (<1 mo)
2023-09,SMB,1548.51,15.21,0.01,Excellent (<1 mo)
2023-08,Enterprise,1764.58,1228.41,0.7,Excellent (<1 mo)
2023-08,Mid-Market,1503.82,165.52,0.11,Excellent (<1 mo)
2023-08,SMB,1584.37,23.89,0.02,Excellent (<1 mo)
2023-07,Enterprise,1862.67,1039.74,0.56,Excellent (<1 mo)
2023-07,Mid-Market,1562.21,164.44,0.11,Excellent (<1 mo)
2023-07,SMB,1573.49,21.79,0.01,Excellent (<1 mo)
2023-06,Enterprise,1806.49,762.56,0.42,Excellent (<1 mo)
2023-06,Mid-Market,1627.36,147.78,0.09,Excellent (<1 mo)
2023-06,SMB,1608.51,18.43,0.01,Excellent (<1 mo)
2023-05,Enterprise,1359.24,556.97,0.41,Excellent (<1 mo)
2023-05,Mid-Market,1626.47,102.1,0.06,Excellent (<1 mo)
2023-05,SMB,1580.11,14.45,0.01,Excellent (<1 mo)
