Cohort Month,Starting MRR,Churned MRR,Expansion MRR,Gross Revenue Retention %,Net Revenue Retention %
2024-11,848498.0,89757.0,763757.0,89.42,179.43
2024-10,1723753.0,215547.0,1569018.0,87.5,178.52
2024-09,1754191.0,265386.0,1578997.0,84.87,174.88
2024-08,1852877.0,280417.0,1684026.0,84.87,175.75
2024-07,1808276.0,333890.0,1558914.0,81.54,167.75
2024-06,1854384.0,330630.0,1649653.0,82.17,171.13
2024-05,1862933.0,392078.0,1513554.0,78.95,160.2
2024-04,1821103.0,382509.0,1602816.0,79.0,167.01
2024-03,1955149.0,544826.0,1882424.0,72.13,168.41
2024-02,1810112.0,446627.0,1573210.0,75.33,162.24
2024-01,1853720.0,471258.0,1716742.0,74.58,167.19
2023-12,2053899.0,561831.0,1786150.0,72.65,159.61
2023-11,1919041.0,505143.0,1703967.0,73.68,162.47
2023-10,1840636.0,474067.0,1743926.0,74.24,168.99
2023-09,1887241.0,501407.0,1660973.0,73.43,161.44
2023-08,2001665.0,567224.0,1855445.0,71.66,164.36
2023-07,1951301.0,654608.0,1778440.0,66.45,157.59
2023-06,1996313.0,557946.0,1744486.0,72.05,159.44
2023-05,949555.0,204115.0,820757.0,78.5,164.94
